datetime,open,high,low,close,volume,closePrice,commission,date
2009/3/27,3566,3660,3514,3562,360228,3545,0,2009/3/30
2009/3/30,3551,3580,3529,3545,145888,3550,0,2009/3/31
2009/3/31,3539,3567,3532,3550,71002,3548,0,2009/4/1
2009/4/1,3561,3562,3545,3548,28388,3475,0,2009/4/2
2009/4/2,3546,3550,3457,3475,236480,3450,0,2009/4/3
2009/4/3,3482,3482,3439,3450,153874,3492,0,2009/4/7
2009/4/7,3426,3519,3426,3492,243464,3465,0,2009/4/8
2009/4/8,3481,3492,3457,3465,147714,3469,0,2009/4/9
2009/4/9,3478,3488,3462,3469,88100,3486,0,2009/4/10
2009/4/10,3484,3501,3471,3486,121774,3471,0,2009/4/13
2009/4/13,3487,3495,3466,3471,110892,3561,0,2009/4/14
2009/4/14,3477,3600,3471,3561,541858,3564,0,2009/4/15
2009/4/15,3571,3591,3552,3564,256590,3598,0,2009/4/16
2009/4/16,3584,3629,3573,3598,251234,3622,0,2009/4/17
2009/4/17,3596,3650,3583,3622,340950,3625,0,2009/4/20
2009/4/20,3622,3649,3617,3625,260904,3526,0,2009/4/21
2009/4/21,3582,3592,3491,3526,333156,3528,0,2009/4/22
2009/4/22,3552,3568,3510,3528,169038,3515,0,2009/4/23
2009/4/23,3531,3533,3490,3515,131110,3503,0,2009/4/24
2009/4/24,3515,3524,3499,3503,102004,3501,0,2009/4/27
2009/4/27,3512,3522,3494,3501,102958,3509,0,2009/4/28
2009/4/28,3498,3517,3498,3509,97352,3521,0,2009/4/29
2009/4/29,3509,3521,3505,3521,102924,3554,0,2009/4/30
2009/4/30,3538,3575,3525,3554,249142,3637,0,2009/5/4
2009/5/4,3574,3661,3574,3637,575670,3578,0,2009/5/5
2009/5/5,3637,3645,3573,3578,176798,3595,0,2009/5/6
2009/5/6,3579,3599,3575,3595,104310,3594,0,2009/5/7
2009/5/7,3629,3631,3592,3594,151292,3615,0,2009/5/8
2009/5/8,3600,3617,3591,3615,104146,3640,0,2009/5/11
2009/5/11,3616,3679,3607,3640,337180,3646,0,2009/5/12
2009/5/12,3646,3661,3631,3646,194050,3640,0,2009/5/13
2009/5/13,3656,3658,3635,3640,119000,3595,0,2009/5/14
2009/5/14,3617,3621,3591,3595,140800,3605,0,2009/5/15
2009/5/15,3601,3619,3597,3605,132894,3609,0,2009/5/18
2009/5/18,3596,3613,3582,3609,105328,3619,0,2009/5/19
2009/5/19,3631,3631,3612,3619,95996,3619,0,2009/5/20
2009/5/20,3617,3645,3613,3619,119384,3625,0,2009/5/21
2009/5/21,3621,3643,3619,3625,118058,3619,0,2009/5/22
2009/5/22,3620,3628,3609,3619,60846,3610,0,2009/5/25
