,0
0,CFFEX.IC2012
1,CFFEX.T2306
2,CFFEX.IF2202
3,CFFEX.IC2103
4,CFFEX.TF2106
5,CFFEX.TS2306
6,CFFEX.TS2212
7,CFFEX.IF2204
8,CFFEX.IH2106
9,CFFEX.IC2105
10,CFFEX.IF2101
11,CFFEX.IF2105
12,CFFEX.T2109
13,CFFEX.IC2009
14,CFFEX.IF2201
15,CFFEX.IH2011
16,CFFEX.IH2009
17,CFFEX.IH2206
18,CFFEX.TS2106
19,CFFEX.IF2009
20,CFFEX.T2212
21,CFFEX.IH2203
22,CFFEX.IC2205
23,CFFEX.IC2111
24,CFFEX.IF2212
25,CFFEX.IF2104
26,CFFEX.IF2011
27,CFFEX.IH2212
28,CFFEX.IF2106
29,CFFEX.TS2012
30,CFFEX.IC2110
31,CFFEX.IH2010
32,CFFEX.IH2303
33,CFFEX.IH2012
34,CFFEX.TF2212
35,CFFEX.TS2203
36,CFFEX.IM2208
37,CFFEX.IH2201
38,CFFEX.IF2109
39,CFFEX.IC2211
40,CFFEX.IF2205
41,CFFEX.TS2303
42,CFFEX.IF2010
43,CFFEX.IH2208
44,CFFEX.IC2107
45,CFFEX.IH2109
46,CFFEX.IH2204
47,CFFEX.IC2207
48,CFFEX.IH2102
49,CFFEX.IC2204
50,CFFEX.T2012
51,CFFEX.IC2208
52,CFFEX.TF2103
53,CFFEX.TS2109
54,CFFEX.IC2010
55,CFFEX.TF2012
56,CFFEX.TS2209
57,CFFEX.IF2210
58,CFFEX.TF2112
59,CFFEX.IH2105
60,CFFEX.IC2101
61,CFFEX.IH2103
62,CFFEX.IH2110
63,CFFEX.TF2109
64,CFFEX.IH2205
65,CFFEX.IM2212
66,CFFEX.T2303
67,CFFEX.IF2211
68,CFFEX.IC2112
69,CFFEX.IF2203
70,CFFEX.IF2012
71,CFFEX.IF2103
72,CFFEX.IF2209
73,CFFEX.T2106
74,CFFEX.TF2206
75,CFFEX.IC2212
76,CFFEX.IH2210
77,CFFEX.IF2112
78,CFFEX.IH2112
79,CFFEX.IF2107
80,CFFEX.T2206
81,CFFEX.IH2111
82,CFFEX.IF2207
83,CFFEX.IC2210
84,CFFEX.TF2209
85,CFFEX.IC2202
86,CFFEX.IC2109
87,CFFEX.IH2104
88,CFFEX.T2112
89,CFFEX.IC2106
90,CFFEX.T2103
91,CFFEX.T2203
92,CFFEX.IM2209
93,CFFEX.IF2303
94,CFFEX.IF2206
95,CFFEX.IC2303
96,CFFEX.IC2209
97,CFFEX.IC2201
98,CFFEX.IM2211
99,CFFEX.IH2108
100,CFFEX.IF2111
101,CFFEX.TF2303
102,CFFEX.TS2112
103,CFFEX.IH2209
104,CFFEX.TS2206
105,CFFEX.TS2103
106,CFFEX.IF2102
107,CFFEX.TF2203
108,CFFEX.IH2101
109,CFFEX.IH2107
110,CFFEX.IC2203
111,CFFEX.T2209
112,CFFEX.IC2104
113,CFFEX.IH2202
114,CFFEX.IC2102
115,CFFEX.IF2110
116,CFFEX.TF2306
117,CFFEX.IC2206
118,CFFEX.IC2108
119,CFFEX.IC2011
120,CFFEX.IF2208
121,CFFEX.IH2207
122,CFFEX.IF2108
123,CFFEX.IM2210
124,CFFEX.IH2211
125,CFFEX.IM2303
