,0
0,CFFEX.IO2206-C-4200
1,CFFEX.MO2211-P-6400
2,CFFEX.IO2207-P-4800
3,CFFEX.IO2206-P-5400
4,CFFEX.MO2208-P-6500
5,CFFEX.IO2012-P-4600
6,CFFEX.MO2211-C-7800
7,CFFEX.IO2104-P-5500
8,CFFEX.IO2208-P-4700
9,CFFEX.IO2105-C-5000
10,CFFEX.IO2207-C-4900
11,CFFEX.IO2012-C-4400
12,CFFEX.IO2109-C-5500
13,CFFEX.IO2106-C-5300
14,CFFEX.IO2210-C-4050
15,CFFEX.IO2110-C-4400
16,CFFEX.MO2210-P-7000
17,CFFEX.IO2212-C-3750
18,CFFEX.MO2309-P-5800
19,CFFEX.IO2203-C-3550
20,CFFEX.IO2012-C-4350
21,CFFEX.IO2011-C-4550
22,CFFEX.IO2202-C-5500
23,CFFEX.IO2108-P-4950
24,CFFEX.IO2207-C-4000
25,CFFEX.IO2212-P-3900
26,CFFEX.IO2112-P-5100
27,CFFEX.IO2010-C-4300
28,CFFEX.IO2010-C-4900
29,CFFEX.IO2105-P-5600
30,CFFEX.IO2110-C-4550
31,CFFEX.IO2206-C-5000
32,CFFEX.IO2012-C-3700
33,CFFEX.IO2109-C-4500
34,CFFEX.IO2110-P-5300
35,CFFEX.IO2111-C-4750
36,CFFEX.IO2101-P-4700
37,CFFEX.IO2208-P-3650
38,CFFEX.IO2105-C-4450
39,CFFEX.IO2204-P-3800
40,CFFEX.IO2009-C-3850
41,CFFEX.IO2203-C-4850
42,CFFEX.IO2010-P-4800
43,CFFEX.IO2105-P-5000
44,CFFEX.IO2107-P-5900
45,CFFEX.MO2212-P-7800
46,CFFEX.MO2309-C-7200
47,CFFEX.IO2109-P-4650
48,CFFEX.IO2210-C-4300
49,CFFEX.IO2009-P-4000
50,CFFEX.IO2109-C-4400
51,CFFEX.IO2103-C-3500
52,CFFEX.IO2103-P-4450
53,CFFEX.IO2205-C-4300
54,CFFEX.MO2212-C-6100
55,CFFEX.IO2108-C-5700
56,CFFEX.MO2208-P-7600
57,CFFEX.IO2209-C-4300
58,CFFEX.IO2011-P-4350
59,CFFEX.IO2010-C-4400
60,CFFEX.MO2209-C-7000
61,CFFEX.IO2010-P-5300
62,CFFEX.IO2212-C-3800
63,CFFEX.IO2104-C-5000
64,CFFEX.IO2111-P-4850
65,CFFEX.IO2211-P-3650
66,CFFEX.IO2009-C-5400
67,CFFEX.IO2212-P-4500
68,CFFEX.IO2009-P-4150
69,CFFEX.MO2212-C-5800
70,CFFEX.IO2009-C-3700
71,CFFEX.IO2206-P-5800
72,CFFEX.IO2204-P-4350
73,CFFEX.IO2207-C-4250
74,CFFEX.IO2212-P-4600
75,CFFEX.IO2206-P-3500
76,CFFEX.IO2202-P-4600
77,CFFEX.IO2209-P-4850
78,CFFEX.IO2106-P-4800
79,CFFEX.IO2106-P-4600
80,CFFEX.IO2202-C-4050
81,CFFEX.MO2212-P-6700
