,0
0,CZCE.SF212
1,CZCE.MA305
2,CZCE.RM205
3,CZCE.ZC304
4,CZCE.JR301
5,CZCE.SM212
6,CZCE.SA202
7,CZCE.SF305
8,CZCE.PF110
9,CZCE.RI209
10,CZCE.LR203
11,CZCE.OI303
12,CZCE.MA212
13,CZCE.CF107
14,CZCE.CY108
15,CZCE.TA102
16,CZCE.JR211
17,CZCE.SR301
18,CZCE.PF308
19,CZCE.SA307
20,CZCE.SA107
21,CZCE.MA211
22,CZCE.SF106
23,CZCE.CJ309
24,CZCE.MA012
25,CZCE.MA110
26,CZCE.FG305
27,CZCE.CY212
28,CZCE.SF303
29,CZCE.MA203
30,CZCE.ZC206
31,CZCE.TA306
32,CZCE.MA010
33,CZCE.AP011
34,CZCE.CY210
35,CZCE.MA308
36,CZCE.SR103
37,CZCE.RM203
38,CZCE.CY307
39,CZCE.UR210
40,CZCE.ZC111
41,CZCE.SA102
42,CZCE.ZC305
43,CZCE.OI107
44,CZCE.FG112
45,CZCE.WH111
46,CZCE.SF105
47,CZCE.FG202
48,CZCE.SM306
49,CZCE.FG106
50,CZCE.SF209
51,CZCE.RM307
52,CZCE.OI309
53,CZCE.MA205
54,CZCE.RM211
55,CZCE.MA301
56,CZCE.SA201
57,CZCE.ZC102
58,CZCE.MA304
59,CZCE.PF303
60,CZCE.MA108
61,CZCE.AP301
62,CZCE.TA103
63,CZCE.PF309
64,CZCE.SF107
65,CZCE.TA210
66,CZCE.SA101
67,CZCE.ZC205
68,CZCE.ZC303
69,CZCE.PM207
70,CZCE.SF301
71,CZCE.SM201
72,CZCE.MA104
73,CZCE.CY106
74,CZCE.TA012
75,CZCE.PM203
76,CZCE.TA011
77,CZCE.RM305
78,CZCE.JR305
79,CZCE.WH205
80,CZCE.AP303
81,CZCE.WH105
82,CZCE.FG105
83,CZCE.PK304
84,CZCE.RM111
85,CZCE.AP203
86,CZCE.CJ201
87,CZCE.FG206
88,CZCE.SM104
89,CZCE.UR204
90,CZCE.CF305
91,CZCE.SF309
92,CZCE.RI103
93,CZCE.CJ012
94,CZCE.ZC109
95,CZCE.AP110
96,CZCE.SF202
97,CZCE.PF307
98,CZCE.UR112
99,CZCE.CY207
100,CZCE.WH101
101,CZCE.CJ307
102,CZCE.CJ205
103,CZCE.FG103
104,CZCE.UR110
105,CZCE.UR205
106,CZCE.PM011
