,0
0,CZCE.PK301P10600
1,CZCE.MA109P2500
2,CZCE.RM109C2950
3,CZCE.RM203C2450
4,CZCE.ZC112P1440
5,CZCE.TA302C7000
6,CZCE.MA107P2950
7,CZCE.CF301C17000
8,CZCE.ZC212P970
9,CZCE.RM101C2050
10,CZCE.SR201C6400
11,CZCE.TA109C4000
12,CZCE.ZC204P700
13,CZCE.CF301P16000
14,CZCE.ZC212C930
15,CZCE.CF307C16000
16,CZCE.TA210C7600
17,CZCE.MA205C2750
18,CZCE.MA112C3800
19,CZCE.MA305C2475
20,CZCE.TA303C5500
21,CZCE.RM207C3450
22,CZCE.TA205C4850
23,CZCE.TA208C5100
24,CZCE.CF105P16400
25,CZCE.RM203P3050
26,CZCE.RM209P4200
27,CZCE.MA111P2150
28,CZCE.TA305P6500
29,CZCE.ZC110P770
30,CZCE.MA203P2475
31,CZCE.RM211P3750
32,CZCE.TA107P3700
33,CZCE.MA111P3100
34,CZCE.TA302C5600
35,CZCE.TA204P4550
36,CZCE.SR301P6500
37,CZCE.ZC205C1330
38,CZCE.TA101C2950
39,CZCE.SR203C5300
40,CZCE.ZC110P820
41,CZCE.MA012C2225
42,CZCE.SR011P5000
43,CZCE.PK304C12000
44,CZCE.ZC104P820
45,CZCE.CF207P21600
46,CZCE.TA308C5700
47,CZCE.TA211P6800
48,CZCE.ZC112C890
49,CZCE.TA201P5000
50,CZCE.CF103P13600
51,CZCE.PK212P12000
52,CZCE.MA203C2350
53,CZCE.CF105C12800
54,CZCE.RM303C2425
55,CZCE.TA307C5800
56,CZCE.MA206P3250
57,CZCE.SR211P5100
58,CZCE.TA104P3600
59,CZCE.MA303C3000
60,CZCE.MA301P3400
61,CZCE.CF111C23600
62,CZCE.CF301C17200
63,CZCE.CF303P22400
64,CZCE.TA108P4650
65,CZCE.CF109C13400
66,CZCE.ZC112P1960
67,CZCE.MA203P3300
68,CZCE.TA108P5300
69,CZCE.RM205P4150
70,CZCE.ZC201P1320
71,CZCE.ZC201P1870
72,CZCE.MA211P2325
73,CZCE.ZC205P710
74,CZCE.MA110P2850
75,CZCE.ZC111C1290
76,CZCE.MA101P1650
77,CZCE.RM103P2200
78,CZCE.SR107C6100
79,CZCE.MA201P3250
80,CZCE.RM101C2175
81,CZCE.CF101P14200
82,CZCE.MA305P2800
83,CZCE.RM207C3600
84,CZCE.MA302C2550
85,CZCE.OI305C12200
86,CZCE.PK304P9500
87,CZCE.RM111C2700
88,CZCE.CF303P16600
89,CZCE.CF303P12400
90,CZCE.RM105C3450
91,CZCE.TA111C5300
92,CZCE.CF201C18200
93,CZCE.TA201C6200
94,CZCE.CF103C14000
95,CZCE.RM211P3200
96,CZCE.TA112C4500
97,CZCE.TA209C4450
98,CZCE.ZC105C630
99,CZCE.ZC105P760
100,CZCE.MA110C2600
101,CZCE.TA104P4950
102,CZCE.MA107C2900
103,CZCE.MA110P2700
104,CZCE.TA101C3600
105,CZCE.MA109P3050
106,CZCE.PK212C11000
107,CZCE.MA106C2800
108,CZCE.MA207C2650
109,CZCE.MA301C2275
110,CZCE.MA112C2325
111,CZCE.MA112P2425
112,CZCE.ZC204C680
113,CZCE.MA106P2650
114,CZCE.ZC108P890
115,CZCE.MA204C3600
116,CZCE.RM207C3900
117,CZCE.CF105P14200
118,CZCE.TA101P2950
119,CZCE.CF201P20400
120,CZCE.MA209C2225
121,CZCE.SR211P6100
122,CZCE.CF201P16400
123,CZCE.MA112C2425
124,CZCE.CF303C16200
125,CZCE.RM205C3000
126,CZCE.CF111C14600
127,CZCE.ZC103P690
128,CZCE.SR105C4300
129,CZCE.MA210P2750
130,CZCE.MA209C2175
131,CZCE.CF305P15600
