,0
0,DCE.m2209
1,DCE.jm2012
2,DCE.bb2211
3,DCE.v2309
4,DCE.jd2309
5,DCE.v2010
6,DCE.pg2202
7,DCE.eg2301
8,DCE.m2103
9,DCE.m2211
10,DCE.b2106
11,DCE.jd2009
12,DCE.jm2102
13,DCE.jd2012
14,DCE.y2307
15,DCE.pp2203
16,DCE.b2202
17,DCE.eb2207
18,DCE.c2305
19,DCE.b2302
20,DCE.eg2105
21,DCE.y2303
22,DCE.pp2302
23,DCE.jm2303
24,DCE.bb2111
25,DCE.eg2107
26,DCE.fb2307
27,DCE.j2309
28,DCE.l2211
29,DCE.p2205
30,DCE.eg2101
31,DCE.v2102
32,DCE.fb2106
33,DCE.eg2106
34,DCE.p2110
35,DCE.a2303
36,DCE.fb2309
37,DCE.i2101
38,DCE.lh2211
39,DCE.jm2104
40,DCE.rr2301
41,DCE.eb2208
42,DCE.l2112
43,DCE.m2309
44,DCE.p2202
45,DCE.pp2111
46,DCE.p2305
47,DCE.jd2208
48,DCE.p2302
49,DCE.cs2309
50,DCE.p2112
51,DCE.bb2112
52,DCE.eg2204
53,DCE.bb2103
54,DCE.l2302
55,DCE.pg2103
56,DCE.fb2201
57,DCE.cs2303
58,DCE.jm2204
59,DCE.rr2203
60,DCE.rr2202
61,DCE.l2303
62,DCE.pg2209
63,DCE.eg2212
64,DCE.y2109
65,DCE.jm2108
66,DCE.jd2212
67,DCE.y2203
68,DCE.rr2210
69,DCE.rr2306
70,DCE.rr2112
71,DCE.l2204
72,DCE.jd2105
73,DCE.m2101
74,DCE.a2201
75,DCE.p2303
76,DCE.v2106
77,DCE.eg2211
78,DCE.p2105
79,DCE.pp2108
80,DCE.bb2304
81,DCE.pg2104
82,DCE.pp2202
83,DCE.i2304
84,DCE.eg2203
85,DCE.eg2309
86,DCE.rr2104
87,DCE.j2302
88,DCE.p2101
89,DCE.a2103
90,DCE.c2011
91,DCE.eb2201
92,DCE.rr2207
93,DCE.eb2101
94,DCE.eg2206
95,DCE.pg2112
96,DCE.jd2305
97,DCE.eg2109
98,DCE.jm2305
99,DCE.eg2102
100,DCE.b2210
101,DCE.rr2012
102,DCE.i2204
103,DCE.y2211
104,DCE.i2106
105,DCE.pg2309
106,DCE.b2104
107,DCE.bb2101
108,DCE.fb2302
109,DCE.p2204
110,DCE.pp2306
111,DCE.v2012
112,DCE.rr2303
113,DCE.jd2101
114,DCE.b2102
115,DCE.fb2107
116,DCE.pp2206
117,DCE.eb2012
118,DCE.jd2301
119,DCE.i2103
120,DCE.rr2305
121,DCE.jd2304
122,DCE.bb2105
123,DCE.y2305
124,DCE.c2107
125,DCE.eb2308
126,DCE.y2212
127,DCE.v2208
128,DCE.fb2105
129,DCE.eb2009
130,DCE.jm2210
131,DCE.a2109
132,DCE.p2304
133,DCE.a2011
134,DCE.eg2202
135,DCE.bb2303
136,DCE.bb2206
137,DCE.a2203
138,DCE.v2108
139,DCE.j2209
140,DCE.v2212
141,DCE.jm2208
142,DCE.pp2101
143,DCE.jm2209
144,DCE.jm2306
145,DCE.fb2209
146,DCE.eb2301
147,DCE.bb2012
148,DCE.b2112
149,DCE.lh2303
150,DCE.l2111
151,DCE.i2109
152,DCE.jd2210
153,DCE.c2209
154,DCE.pg2204
155,DCE.b2308
156,DCE.pp2204
157,DCE.b2206
158,DCE.i2107
159,DCE.j2308
160,DCE.l2208
161,DCE.i2205
162,DCE.i2207
163,DCE.eb2107
164,DCE.eb2109
165,DCE.eg2104
166,DCE.a2105
167,DCE.l2309
168,DCE.eb2305
169,DCE.rr2212
170,DCE.m2011
171,DCE.y2209
172,DCE.jd2203
173,DCE.b2209
174,DCE.rr2309
175,DCE.i2212
176,DCE.eb2202
177,DCE.j2109
178,DCE.rr2209
179,DCE.fb2012
180,DCE.p2201
181,DCE.p2011
182,DCE.v2304
183,DCE.pp2112
184,DCE.eb2105
185,DCE.p2109
186,DCE.eg2009
187,DCE.fb2211
188,DCE.pp2107
189,DCE.fb2210
190,DCE.b2211
191,DCE.jd2207
192,DCE.y2208
193,DCE.rr2308
194,DCE.j2202
195,DCE.b2103
196,DCE.l2102
197,DCE.pp2106
198,DCE.pp2309
199,DCE.fb2109
200,DCE.l2010
201,DCE.l2209
202,DCE.pp2102
203,DCE.p2306
204,DCE.c2205
205,DCE.a2107
206,DCE.rr2307
207,DCE.rr2206
208,DCE.jd2010
209,DCE.eg2012
210,DCE.fb2205
211,DCE.jd2202
212,DCE.l2104
213,DCE.cs2307
214,DCE.jd2108
215,DCE.m2207
216,DCE.pg2201
217,DCE.v2303
218,DCE.j2112
219,DCE.rr2108
220,DCE.jd2107
221,DCE.jd2201
222,DCE.i2303
223,DCE.eb2103
224,DCE.jd2109
225,DCE.pg2302
226,DCE.p2103
227,DCE.l2105
228,DCE.m2303
229,DCE.jd2112
230,DCE.y2012
231,DCE.fb2204
232,DCE.b2212
233,DCE.y2308
234,DCE.i2211
235,DCE.jd2103
236,DCE.bb2104
237,DCE.j2206
238,DCE.y2301
239,DCE.a2309
240,DCE.i2309
241,DCE.y2309
242,DCE.i2112
243,DCE.l2110
244,DCE.bb2209
245,DCE.v2206
246,DCE.pp2109
247,DCE.l2108
248,DCE.c2103
249,DCE.b2110
250,DCE.i2203
251,DCE.bb2212
252,DCE.v2107
