,0
0,DCE.v2204-P-12800
1,DCE.i2301-P-520
2,DCE.pg2104-C-3500
3,DCE.v2305-P-9100
4,DCE.v2101-C-7600
5,DCE.p2302-P-8800
6,DCE.i2012-C-870
7,DCE.p2109-C-9100
8,DCE.l2203-C-7000
9,DCE.v2012-C-5900
10,DCE.v2109-C-5900
11,DCE.l2210-P-7100
12,DCE.i2109-P-940
13,DCE.pg2206-C-5100
14,DCE.l2304-P-9600
15,DCE.pg2202-P-4600
16,DCE.p2305-P-6200
17,DCE.p2203-C-6100
18,DCE.l2301-P-7200
19,DCE.l2106-C-6200
20,DCE.v2011-P-7300
21,DCE.l2202-P-8500
22,DCE.pp2306-P-7500
23,DCE.i2111-C-1120
24,DCE.m2211-C-3850
25,DCE.pp2210-C-8100
26,DCE.m2212-C-3000
27,DCE.i2207-C-1040
28,DCE.pg2112-C-3550
29,DCE.i2101-P-850
30,DCE.p2303-C-7900
31,DCE.pg2103-P-2250
32,DCE.i2101-C-940
33,DCE.m2209-P-3750
34,DCE.pg2112-C-4200
35,DCE.v2208-P-7000
36,DCE.pp2212-C-7100
37,DCE.p2305-P-9000
38,DCE.l2305-C-7000
39,DCE.v2204-C-9400
40,DCE.c2107-C-2500
41,DCE.pg2104-P-2950
42,DCE.pg2110-P-4650
43,DCE.pg2101-P-4000
44,DCE.v2207-P-7900
45,DCE.i2110-P-1460
46,DCE.i2103-P-730
47,DCE.i2108-C-960
48,DCE.i2204-P-810
49,DCE.pp2203-C-8200
50,DCE.p2302-P-13200
51,DCE.p2211-C-7600
52,DCE.v2304-P-5200
53,DCE.a2211-P-5400
54,DCE.i2105-P-680
55,DCE.v2109-C-8100
56,DCE.i2201-P-780
57,DCE.c2305-P-2720
58,DCE.v2305-C-8200
59,DCE.p2305-P-10800
60,DCE.c2309-P-2660
61,DCE.pg2108-P-4000
62,DCE.pp2212-P-7600
63,DCE.c2011-C-2420
64,DCE.i2104-P-980
65,DCE.v2211-P-7400
66,DCE.i2012-C-770
67,DCE.i2307-C-710
68,DCE.l2305-C-8400
69,DCE.y2212-C-8000
70,DCE.v2211-P-9400
71,DCE.pg2108-C-3150
72,DCE.v2301-P-9000
73,DCE.y2211-C-11600
74,DCE.y2307-C-7900
75,DCE.l2109-C-7100
76,DCE.a2301-C-6100
77,DCE.i2212-C-910
78,DCE.pg2108-P-5300
79,DCE.v2102-P-6300
80,DCE.pp2105-P-9900
81,DCE.y2212-C-9200
82,DCE.v2304-C-6300
83,DCE.pg2106-P-3000
84,DCE.v2212-C-9700
85,DCE.p2303-C-12800
86,DCE.pp2307-C-8800
87,DCE.pp2107-C-9200
88,DCE.m2108-C-4000
89,DCE.p2206-P-7200
90,DCE.p2112-C-10400
91,DCE.pg2102-C-4100
92,DCE.c2105-P-2280
93,DCE.pp2202-C-7500
94,DCE.pg2109-P-3800
95,DCE.c2305-P-2820
96,DCE.l2209-C-9600
97,DCE.i2308-P-670
98,DCE.m2101-P-3300
99,DCE.pp2210-P-8100
100,DCE.pg2108-P-3000
101,DCE.pg2206-C-6200
102,DCE.l2107-C-6200
103,DCE.b2306-C-4550
104,DCE.p2309-C-6500
105,DCE.pg2303-C-4050
106,DCE.c2307-P-2540
107,DCE.m2201-P-2950
108,DCE.pg2308-P-4650
109,DCE.c2207-C-3200
110,DCE.i2206-C-730
111,DCE.pp2208-P-7200
112,DCE.i2102-P-460
113,DCE.i2303-P-1060
114,DCE.l2307-P-8800
115,DCE.pg2107-C-3550
116,DCE.v2303-P-8900
117,DCE.pg2209-C-5600
118,DCE.c2111-C-2360
119,DCE.b2302-P-4750
120,DCE.p2204-P-6800
121,DCE.p2202-C-7700
122,DCE.v2110-P-6600
123,DCE.l2306-P-8000
124,DCE.v2107-C-8200
125,DCE.l2107-P-8100
126,DCE.pp2211-C-9200
127,DCE.pp2109-P-9700
128,DCE.m2111-C-2950
129,DCE.p2207-P-7900
130,DCE.v2103-C-5900
131,DCE.l2202-P-10600
132,DCE.p2302-P-8400
133,DCE.pg2306-C-4150
134,DCE.p2202-P-6100
135,DCE.pg2105-C-3250
136,DCE.p2206-C-11000
137,DCE.pg2111-C-3100
138,DCE.l2204-C-7500
139,DCE.pg2102-C-3050
140,DCE.p2303-P-7000
141,DCE.i2106-P-720
142,DCE.i2205-C-980
143,DCE.pp2210-P-9300
144,DCE.v2301-P-8800
145,DCE.pg2112-C-4600
146,DCE.p2206-C-14800
147,DCE.i2211-P-510
148,DCE.p2207-C-13600
149,DCE.pp2209-P-7000
150,DCE.y2212-P-8500
151,DCE.i2106-C-640
152,DCE.c2103-C-2300
153,DCE.i2107-P-730
154,DCE.pg2102-P-2750
155,DCE.y2309-P-9600
156,DCE.p2211-C-6100
157,DCE.pg2212-C-5250
158,DCE.c2103-C-2640
159,DCE.i2111-C-950
160,DCE.i2209-P-1100
161,DCE.pg2203-C-5650
162,DCE.pg2201-P-4250
163,DCE.i2110-C-740
164,DCE.i2112-P-490
165,DCE.m2012-P-2950
166,DCE.p2304-P-9600
167,DCE.i2206-P-610
168,DCE.pp2102-P-8100
169,DCE.l2105-P-10200
170,DCE.pg2303-C-6900
171,DCE.c2111-P-2640
172,DCE.i2205-P-980
173,DCE.m2103-P-3200
174,DCE.pp2211-C-10200
175,DCE.c2103-P-2580
176,DCE.v2203-C-11000
177,DCE.p2111-P-9000
178,DCE.pp2304-P-9900
179,DCE.l2212-P-6800
180,DCE.pg2202-P-4050
181,DCE.pg2212-P-6800
182,DCE.v2209-P-5900
183,DCE.i2108-C-1500
184,DCE.pg2206-C-5200
185,DCE.v2304-P-9900
186,DCE.m2307-C-4150
187,DCE.v2212-C-6100
188,DCE.pp2208-C-7600
189,DCE.v2108-C-6300
190,DCE.m2208-P-3750
191,DCE.b2307-P-4800
192,DCE.p2201-C-7600
193,DCE.y2303-C-9400
194,DCE.i2307-C-570
195,DCE.p2201-C-5900
196,DCE.v2307-C-7300
197,DCE.pp2302-P-9400
198,DCE.pg2207-P-5850
199,DCE.i2110-P-870
200,DCE.i2111-C-810
201,DCE.i2101-C-1040
202,DCE.p2306-P-7500
203,DCE.i2201-P-1160
204,DCE.pg2109-C-4500
205,DCE.l2110-C-7000
206,DCE.pg2011-P-3900
207,DCE.a2307-P-6400
208,DCE.v2102-C-8300
209,DCE.pp2105-P-7300
210,DCE.p2208-C-14200
211,DCE.pp2204-P-9700
212,DCE.v2303-P-9900
213,DCE.pp2206-P-7500
214,DCE.p2210-P-13400
215,DCE.pp2111-C-10600
216,DCE.v2203-P-7900
217,DCE.pp2105-P-7100
218,DCE.pg2212-P-6200
219,DCE.l2109-C-8500
220,DCE.v2109-P-5800
221,DCE.m2303-C-3650
222,DCE.i2204-P-1260
223,DCE.pg2109-C-4700
224,DCE.i2105-C-870
225,DCE.pg2205-P-4300
226,DCE.c2211-C-3120
227,DCE.i2205-C-880
228,DCE.pg2212-C-6400
229,DCE.v2202-P-8900
230,DCE.l2104-C-9800
231,DCE.l2304-P-7000
232,DCE.pg2204-P-3500
233,DCE.y2303-P-7700
234,DCE.v2210-C-5300
235,DCE.p2307-P-7800
236,DCE.y2305-P-8100
237,DCE.p2304-C-8700
238,DCE.b2307-P-4650
239,DCE.pp2209-C-7900
240,DCE.c2107-C-2960
241,DCE.c2103-C-2100
242,DCE.v2207-P-11800
243,DCE.p2211-C-8100
244,DCE.m2201-C-2950
245,DCE.p2304-P-10600
246,DCE.y2309-P-7700
247,DCE.v2103-C-8800
248,DCE.y2303-C-8500
249,DCE.v2104-C-8000
250,DCE.pg2307-P-5600
251,DCE.i2102-P-700
252,DCE.m2011-P-2550
253,DCE.v2011-C-7000
254,DCE.b2301-P-5400
255,DCE.pg2303-C-5650
256,DCE.b2309-P-4800
257,DCE.p2303-C-6300
258,DCE.v2306-C-6300
259,DCE.i2011-P-590
260,DCE.p2309-C-7800
261,DCE.v2111-P-15400
262,DCE.pg2211-C-4550
263,DCE.l2303-P-8900
264,DCE.p2212-C-6600
265,DCE.c2107-C-2480
266,DCE.l2303-C-9700
267,DCE.i2212-P-550
268,DCE.p2204-P-7100
269,DCE.pg2207-C-4150
270,DCE.pg2210-P-5700
271,DCE.m2211-P-4350
272,DCE.c2011-P-2040
273,DCE.p2212-P-7800
274,DCE.i2211-P-780
275,DCE.i2202-C-520
276,DCE.p2302-C-8400
277,DCE.v2210-C-5700
278,DCE.y2211-C-9900
279,DCE.p2211-P-11800
280,DCE.c2305-C-2400
281,DCE.l2012-P-6000
282,DCE.v2105-C-7800
283,DCE.pg2302-P-4450
284,DCE.pg2204-P-5850
285,DCE.pp2111-P-8400
286,DCE.v2205-C-9600
287,DCE.v2105-P-9900
288,DCE.c2303-P-2640
289,DCE.p2303-C-10800
290,DCE.c2105-P-3000
291,DCE.l2302-P-7500
