,0
0,INE.nr2105
1,INE.lu2108
2,INE.lu2209
3,INE.lu2303
4,INE.lu2101
5,INE.bc2107
6,INE.sc2202
7,INE.bc2304
8,INE.sc2105
9,INE.lu2308
10,INE.lu2309
11,INE.bc2204
12,INE.bc2105
13,INE.sc2211
14,INE.nr2302
15,INE.bc2104
16,INE.sc2108
17,INE.sc2406
18,INE.lu2210
19,INE.bc2308
20,INE.sc2205
21,INE.nr2107
22,INE.nr2201
23,INE.sc2304
24,INE.nr2106
25,INE.bc2207
26,INE.nr2208
27,INE.sc2206
28,INE.nr2210
29,INE.nr2307
30,INE.sc2409
31,INE.bc2202
32,INE.lu2102
33,INE.nr2108
34,INE.lu2304
35,INE.sc2012
36,INE.sc2111
37,INE.nr2203
38,INE.lu2211
39,INE.nr2110
40,INE.sc2208
41,INE.bc2203
42,INE.nr2309
43,INE.nr2205
44,INE.lu2111
45,INE.nr2202
46,INE.bc2205
47,INE.nr2304
48,INE.sc2210
49,INE.sc2509
50,INE.lu2301
51,INE.nr2009
52,INE.lu2107
53,INE.bc2206
54,INE.sc2112
55,INE.bc2212
56,INE.nr2308
57,INE.nr2101
58,INE.bc2302
59,INE.sc2010
60,INE.nr2305
61,INE.sc2106
62,INE.sc2107
63,INE.sc2102
64,INE.lu2208
65,INE.sc2412
66,INE.nr2010
67,INE.lu2103
68,INE.sc2103
69,INE.sc2203
70,INE.lu2112
71,INE.sc2403
72,INE.bc2211
73,INE.sc2301
74,INE.lu2307
75,INE.lu2204
76,INE.nr2303
77,INE.nr2211
78,INE.bc2112
79,INE.lu2202
80,INE.lu2302
81,INE.sc2308
82,INE.bc2111
83,INE.sc2312
84,INE.sc2506
85,INE.sc2309
86,INE.bc2103
87,INE.lu2201
88,INE.nr2212
89,INE.sc2109
90,INE.nr2112
91,INE.bc2108
92,INE.sc2303
93,INE.bc2306
94,INE.bc2208
95,INE.lu2206
96,INE.nr2209
97,INE.lu2104
98,INE.bc2209
99,INE.bc2210
100,INE.nr2207
101,INE.lu2306
102,INE.sc2302
103,INE.lu2212
104,INE.nr2301
105,INE.nr2109
106,INE.sc2503
107,INE.bc2109
108,INE.nr2103
109,INE.bc2106
110,INE.lu2310
111,INE.nr2111
112,INE.sc2204
113,INE.sc2201
114,INE.sc2101
115,INE.lu2105
116,INE.nr2102
117,INE.lu2110
118,INE.bc2305
119,INE.bc2307
120,INE.lu2203
121,INE.sc2110
122,INE.bc2303
123,INE.lu2207
124,INE.nr2011
125,INE.sc2310
126,INE.sc2307
127,INE.lu2305
128,INE.lu2106
129,INE.sc2011
130,INE.bc2110
131,INE.sc2306
132,INE.sc2212
133,INE.sc2305
134,INE.bc2301
135,INE.nr2104
136,INE.sc2207
137,INE.nr2012
138,INE.sc2104
139,INE.lu2205
140,INE.sc2209
141,INE.nr2306
142,INE.nr2206
143,INE.nr2204
144,INE.bc2309
145,INE.bc2201
146,INE.lu2109
