,0
0,INE.sc2110P450
1,INE.sc2111C430
2,INE.sc2207C630
3,INE.sc2204P880
4,INE.sc2204C680
5,INE.sc2205P500
6,INE.sc2207P730
7,INE.sc2201C490
8,INE.sc2211C620
9,INE.sc2202P435
10,INE.sc2205C540
11,INE.sc2205C850
12,INE.sc2111P520
13,INE.sc2208C560
14,INE.sc2204C590
15,INE.sc2111P495
16,INE.sc2208P810
17,INE.sc2207C680
18,INE.sc2212C640
19,INE.sc2212P500
20,INE.sc2208P900
21,INE.sc2109P495
22,INE.sc2208P550
23,INE.sc2204C900
24,INE.sc2203C450
25,INE.sc2206P810
26,INE.sc2209P710
27,INE.sc2206C540
28,INE.sc2212C730
29,INE.sc2211C650
30,INE.sc2204P850
31,INE.sc2110P415
32,INE.sc2209P630
33,INE.sc2202P530
34,INE.sc2203P485
35,INE.sc2203P630
36,INE.sc2201P490
37,INE.sc2110P475
38,INE.sc2211C770
39,INE.sc2212P760
40,INE.sc2206C620
41,INE.sc2202C460
42,INE.sc2207P670
43,INE.sc2201C390
44,INE.sc2111C490
45,INE.sc2207C910
46,INE.sc2201C380
47,INE.sc2209P530
48,INE.sc2211P780
49,INE.sc2211P760
50,INE.sc2201C435
51,INE.sc2202P580
52,INE.sc2207P810
53,INE.sc2204P710
54,INE.sc2207C790
55,INE.sc2111C390
56,INE.sc2205P840
57,INE.sc2109P375
58,INE.sc2210P740
59,INE.sc2206C710
60,INE.sc2212P730
61,INE.sc2205P740
62,INE.sc2111P455
63,INE.sc2204P660
64,INE.sc2205C590
65,INE.sc2112P470
66,INE.sc2208P540
67,INE.sc2204C780
68,INE.sc2209P780
69,INE.sc2211C580
70,INE.sc2204P460
71,INE.sc2202P445
72,INE.sc2112C375
73,INE.sc2109C370
74,INE.sc2111P550
75,INE.sc2205C800
76,INE.sc2205P485
77,INE.sc2203C455
78,INE.sc2111P405
79,INE.sc2209P850
80,INE.sc2109P395
81,INE.sc2208C550
82,INE.sc2207P650
83,INE.sc2206C920
84,INE.sc2211C495
85,INE.sc2212P770
86,INE.sc2208P850
87,INE.sc2109P400
88,INE.sc2207C530
89,INE.sc2109P485
90,INE.sc2109C375
91,INE.sc2202P455
92,INE.sc2212P630
93,INE.sc2209C620
94,INE.sc2112P430
95,INE.sc2111C435
96,INE.sc2212C590
97,INE.sc2110P510
98,INE.sc2112P365
99,INE.sc2205P720
100,INE.sc2112C425
101,INE.sc2204P670
102,INE.sc2204C870
103,INE.sc2205P810
104,INE.sc2204P580
105,INE.sc2203P455
106,INE.sc2203C390
107,INE.sc2208C920
108,INE.sc2210C890
109,INE.sc2210C490
110,INE.sc2110P385
111,INE.sc2204C435
112,INE.sc2202P485
113,INE.sc2201P460
114,INE.sc2204C560
115,INE.sc2109C420
116,INE.sc2202P425
117,INE.sc2111C425
118,INE.sc2204C460
119,INE.sc2111P390
120,INE.sc2203C395
121,INE.sc2206P710
122,INE.sc2205P870
123,INE.sc2204C660
124,INE.sc2112P570
125,INE.sc2111P465
126,INE.sc2210C630
127,INE.sc2209C520
128,INE.sc2203C460
129,INE.sc2212C770
130,INE.sc2204C670
131,INE.sc2209C910
132,INE.sc2112C580
133,INE.sc2212P530
134,INE.sc2202C490
135,INE.sc2206P870
136,INE.sc2206P730
137,INE.sc2204C810
138,INE.sc2205C510
139,INE.sc2201C570
140,INE.sc2202C485
141,INE.sc2202P510
142,INE.sc2202P500
143,INE.sc2207C500
144,INE.sc2205P830
145,INE.sc2205P480
146,INE.sc2210C650
147,INE.sc2204P510
148,INE.sc2207P590
149,INE.sc2207P880
150,INE.sc2208C510
151,INE.sc2111C530
152,INE.sc2208C650
153,INE.sc2110C460
154,INE.sc2203C420
155,INE.sc2205P900
156,INE.sc2109C410
157,INE.sc2208P730
158,INE.sc2203C475
159,INE.sc2208P780
160,INE.sc2207C740
161,INE.sc2206P680
162,INE.sc2212C560
163,INE.sc2206P630
164,INE.sc2203C520
165,INE.sc2207P850
166,INE.sc2209C680
167,INE.sc2207P540
168,INE.sc2210P610
169,INE.sc2207C850
170,INE.sc2211P700
171,INE.sc2201C600
172,INE.sc2207C650
173,INE.sc2111P380
174,INE.sc2208C780
175,INE.sc2206C490
176,INE.sc2209P520
177,INE.sc2206C650
178,INE.sc2208P740
179,INE.sc2204C540
180,INE.sc2203C465
181,INE.sc2204C880
182,INE.sc2207C620
183,INE.sc2110P400
184,INE.sc2210C495
185,INE.sc2209P600
186,INE.sc2206P750
187,INE.sc2112C415
188,INE.sc2210P890
189,INE.sc2111C460
190,INE.sc2112C410
191,INE.sc2202P570
192,INE.sc2203P420
193,INE.sc2211P790
194,INE.sc2203P460
195,INE.sc2209C530
196,INE.sc2206P610
197,INE.sc2210C820
198,INE.sc2110C425
199,INE.sc2206C890
200,INE.sc2205C790
201,INE.sc2207P580
202,INE.sc2206C630
203,INE.sc2206P520
204,INE.sc2209P550
205,INE.sc2109P455
206,INE.sc2202C500
207,INE.sc2110C350
208,INE.sc2201P475
209,INE.sc2210C760
210,INE.sc2208P590
211,INE.sc2109P420
212,INE.sc2111C355
213,INE.sc2202P405
214,INE.sc2112P490
215,INE.sc2109C500
216,INE.sc2109P410
217,INE.sc2111C440
218,INE.sc2208P720
219,INE.sc2109C530
220,INE.sc2206C770
221,INE.sc2201C455
222,INE.sc2201C500
223,INE.sc2210P500
224,INE.sc2112C485
225,INE.sc2205P690
226,INE.sc2206P880
227,INE.sc2210P560
228,INE.sc2109P450
229,INE.sc2203P480
230,INE.sc2110C420
231,INE.sc2210C840
232,INE.sc2206C500
233,INE.sc2112C400
234,INE.sc2210C540
235,INE.sc2111C500
236,INE.sc2204P690
237,INE.sc2109C460
238,INE.sc2111P510
239,INE.sc2207P550
240,INE.sc2205P750
241,INE.sc2202P495
242,INE.sc2207C510
243,INE.sc2208P880
244,INE.sc2208P750
245,INE.sc2109C465
246,INE.sc2205C700
247,INE.sc2211P620
248,INE.sc2111P385
249,INE.sc2204P640
250,INE.sc2207P870
251,INE.sc2210P800
252,INE.sc2207C710
253,INE.sc2211C830
254,INE.sc2203C425
255,INE.sc2208C770
256,INE.sc2211C700
257,INE.sc2203P600
258,INE.sc2211C560
259,INE.sc2204C480
260,INE.sc2204C550
261,INE.sc2212C800
262,INE.sc2205P910
263,INE.sc2110P350
264,INE.sc2206P580
265,INE.sc2202P390
266,INE.sc2203P475
267,INE.sc2204P465
268,INE.sc2204P970
269,INE.sc2110P490
270,INE.sc2203P610
271,INE.sc2207C580
272,INE.sc2112P560
273,INE.sc2201P500
274,INE.sc2212P820
275,INE.sc2212C490
276,INE.sc2201P435
277,INE.sc2210P780
278,INE.sc2204C970
279,INE.sc2204C520
280,INE.sc2212P600
281,INE.sc2110C380
282,INE.sc2204C465
283,INE.sc2109P460
284,INE.sc2205C550
285,INE.sc2211C640
286,INE.sc2109C450
287,INE.sc2205P520
288,INE.sc2111P480
289,INE.sc2207P720
290,INE.sc2112P425
291,INE.sc2211P670
292,INE.sc2210C570
293,INE.sc2203C400
294,INE.sc2206P720
295,INE.sc2208P600
296,INE.sc2111C360
297,INE.sc2204P870
298,INE.sc2209C820
299,INE.sc2205P550
300,INE.sc2206C850
301,INE.sc2206C750
302,INE.sc2111P580
303,INE.sc2205C880
304,INE.sc2204P620
305,INE.sc2202C425
306,INE.sc2211P510
307,INE.sc2211C820
308,INE.sc2204P520
309,INE.sc2112P435
310,INE.sc2204P470
311,INE.sc2110P440
312,INE.sc2209C495
313,INE.sc2211P830
314,INE.sc2209C580
315,INE.sc2209P700
316,INE.sc2205C650
317,INE.sc2204C840
318,INE.sc2207P660
319,INE.sc2207C540
320,INE.sc2111P365
321,INE.sc2110P360
322,INE.sc2211C680
323,INE.sc2209C730
324,INE.sc2206P600
325,INE.sc2204C910
326,INE.sc2111P445
327,INE.sc2201P590
328,INE.sc2202P420
329,INE.sc2112P540
330,INE.sc2212C720
331,INE.sc2207P600
332,INE.sc2211C760
333,INE.sc2112P405
334,INE.sc2109C365
335,INE.sc2210C660
336,INE.sc2203C570
337,INE.sc2109P415
338,INE.sc2205P700
339,INE.sc2207C780
340,INE.sc2201P385
341,INE.sc2207P930
342,INE.sc2205C780
343,INE.sc2203C530
344,INE.sc2112C405
345,INE.sc2109C485
346,INE.sc2109C520
347,INE.sc2207P790
348,INE.sc2110P355
349,INE.sc2208C670
350,INE.sc2109P540
351,INE.sc2208P510
352,INE.sc2203C540
353,INE.sc2209P640
354,INE.sc2208P680
355,INE.sc2109P380
356,INE.sc2204P810
357,INE.sc2202C470
358,INE.sc2111C510
359,INE.sc2112C420
360,INE.sc2112C470
361,INE.sc2211P690
362,INE.sc2201P520
363,INE.sc2208C730
364,INE.sc2109C475
365,INE.sc2205P920
366,INE.sc2204C450
367,INE.sc2202C520
368,INE.sc2111P590
369,INE.sc2110P370
370,INE.sc2211C750
371,INE.sc2206P495
372,INE.sc2212P800
373,INE.sc2110P390
374,INE.sc2112P600
375,INE.sc2205P730
376,INE.sc2208C740
377,INE.sc2110P380
378,INE.sc2210P770
379,INE.sc2203P415
380,INE.sc2211P770
381,INE.sc2203P570
382,INE.sc2208C680
383,INE.sc2204C830
384,INE.sc2208P630
385,INE.sc2201P530
386,INE.sc2111P500
387,INE.sc2205C840
388,INE.sc2111C445
389,INE.sc2211P485
390,INE.sc2207C720
391,INE.sc2210C620
392,INE.sc2204C470
393,INE.sc2209P820
394,INE.sc2111P530
395,INE.sc2208P710
396,INE.sc2210P860
397,INE.sc2207P510
398,INE.sc2209C760
399,INE.sc2110C390
400,INE.sc2209C560
401,INE.sc2212C540
402,INE.sc2212C660
403,INE.sc2202C540
404,INE.sc2109C425
405,INE.sc2208P790
406,INE.sc2111P470
407,INE.sc2112P610
408,INE.sc2211C670
409,INE.sc2201P540
410,INE.sc2110C360
411,INE.sc2207P640
412,INE.sc2204P960
413,INE.sc2207P830
414,INE.sc2110P470
415,INE.sc2206P890
416,INE.sc2206C680
417,INE.sc2109C510
418,INE.sc2208P520
419,INE.sc2208C830
420,INE.sc2111C540
421,INE.sc2208P640
422,INE.sc2203P520
423,INE.sc2201P470
424,INE.sc2211P650
425,INE.sc2212C480
426,INE.sc2205P510
427,INE.sc2209C670
428,INE.sc2207P910
429,INE.sc2206P740
430,INE.sc2202C455
431,INE.sc2112C520
432,INE.sc2206P560
433,INE.sc2212P570
434,INE.sc2202C465
435,INE.sc2109C380
436,INE.sc2110C405
437,INE.sc2206C790
438,INE.sc2207C880
439,INE.sc2112P415
440,INE.sc2203P465
441,INE.sc2207C750
442,INE.sc2112C440
443,INE.sc2205P820
444,INE.sc2205P530
445,INE.sc2210P760
446,INE.sc2204P860
447,INE.sc2201C415
448,INE.sc2207C640
449,INE.sc2201P405
450,INE.sc2207C820
451,INE.sc2209C640
452,INE.sc2206P530
453,INE.sc2206P500
454,INE.sc2204P920
455,INE.sc2203C490
456,INE.sc2203C620
457,INE.sc2207C570
458,INE.sc2210C510
459,INE.sc2109P510
460,INE.sc2205C495
461,INE.sc2205P660
462,INE.sc2212C790
463,INE.sc2205C530
464,INE.sc2112P580
465,INE.sc2206P670
466,INE.sc2201C475
467,INE.sc2211P490
468,INE.sc2112P495
469,INE.sc2205C710
470,INE.sc2208C610
471,INE.sc2209C900
472,INE.sc2207C770
473,INE.sc2210C550
474,INE.sc2209C490
475,INE.sc2208C810
476,INE.sc2209C740
477,INE.sc2110P540
478,INE.sc2201P450
479,INE.sc2203P495
480,INE.sc2212P720
481,INE.sc2109P430
482,INE.sc2204C700
483,INE.sc2206C880
484,INE.sc2111P420
485,INE.sc2111C495
486,INE.sc2111P450
487,INE.sc2208P890
488,INE.sc2205C480
489,INE.sc2204P790
490,INE.sc2205C500
491,INE.sc2205C910
492,INE.sc2202P380
493,INE.sc2211C850
494,INE.sc2207C800
495,INE.sc2109P480
496,INE.sc2201C560
497,INE.sc2110C465
498,INE.sc2112C455
499,INE.sc2210P600
500,INE.sc2204P490
501,INE.sc2205C860
502,INE.sc2210C670
503,INE.sc2208C720
504,INE.sc2111C450
505,INE.sc2208C620
506,INE.sc2205P670
507,INE.sc2109C360
508,INE.sc2204P590
509,INE.sc2201C405
510,INE.sc2109C440
511,INE.sc2210C600
512,INE.sc2212C620
513,INE.sc2201C590
514,INE.sc2208C820
515,INE.sc2112C430
516,INE.sc2209P580
517,INE.sc2202P415
518,INE.sc2110C445
519,INE.sc2111C455
520,INE.sc2111C480
521,INE.sc2210C520
522,INE.sc2209P660
523,INE.sc2206C800
524,INE.sc2204C800
525,INE.sc2110P405
526,INE.sc2201C470
527,INE.sc2211P810
528,INE.sc2112C495
529,INE.sc2204P820
530,INE.sc2206C840
531,INE.sc2202C530
532,INE.sc2207P740
533,INE.sc2210C860
534,INE.sc2209C870
535,INE.sc2208C710
536,INE.sc2211P640
537,INE.sc2206P660
538,INE.sc2211C530
539,INE.sc2111C365
540,INE.sc2209C780
541,INE.sc2212P680
542,INE.sc2210P810
543,INE.sc2204P720
544,INE.sc2210P820
545,INE.sc2211P800
546,INE.sc2204C440
547,INE.sc2111C485
548,INE.sc2209P770
549,INE.sc2205C900
550,INE.sc2206C670
551,INE.sc2208C880
552,INE.sc2112P455
553,INE.sc2201C540
554,INE.sc2110P435
555,INE.sc2201C410
556,INE.sc2211P720
557,INE.sc2212C520
558,INE.sc2111C600
559,INE.sc2204C890
560,INE.sc2202P440
561,INE.sc2205C950
562,INE.sc2204C750
563,INE.sc2212P640
564,INE.sc2208C690
565,INE.sc2111C350
566,INE.sc2110C370
567,INE.sc2202P395
568,INE.sc2208C800
569,INE.sc2208P830
570,INE.sc2206C640
571,INE.sc2112P445
572,INE.sc2110C540
573,INE.sc2211P495
574,INE.sc2203P560
575,INE.sc2204C445
576,INE.sc2203C415
577,INE.sc2211C610
578,INE.sc2211P600
579,INE.sc2111P490
580,INE.sc2211P590
581,INE.sc2205C940
582,INE.sc2110C490
583,INE.sc2208P650
584,INE.sc2110C495
585,INE.sc2205P940
586,INE.sc2206P820
587,INE.sc2212C495
588,INE.sc2208C630
589,INE.sc2212P710
590,INE.sc2207P620
591,INE.sc2208P580
592,INE.sc2112P590
593,INE.sc2207C930
594,INE.sc2204C650
595,INE.sc2207C700
596,INE.sc2110C470
597,INE.sc2207P710
598,INE.sc2109P465
599,INE.sc2212P810
600,INE.sc2211P570
601,INE.sc2205P890
602,INE.sc2201C420
603,INE.sc2211C710
604,INE.sc2211C800
605,INE.sc2203C580
606,INE.sc2204P445
607,INE.sc2203C590
608,INE.sc2203P390
609,INE.sc2201P420
610,INE.sc2205C490
611,INE.sc2212C650
612,INE.sc2209C750
613,INE.sc2207C730
614,INE.sc2201C495
615,INE.sc2209C840
616,INE.sc2111C385
617,INE.sc2207P630
618,INE.sc2201P445
619,INE.sc2205C620
620,INE.sc2202C475
621,INE.sc2205C830
622,INE.sc2210C640
623,INE.sc2201C510
624,INE.sc2209P890
625,INE.sc2202P410
626,INE.sc2210C770
627,INE.sc2209P900
628,INE.sc2204P540
629,INE.sc2206C690
630,INE.sc2212P580
631,INE.sc2110C410
632,INE.sc2110P410
633,INE.sc2110C365
634,INE.sc2206P690
635,INE.sc2212P650
636,INE.sc2203P425
637,INE.sc2206P540
638,INE.sc2111C375
639,INE.sc2210P485
640,INE.sc2204C455
641,INE.sc2203P510
642,INE.sc2109P520
643,INE.sc2211P740
644,INE.sc2207C560
645,INE.sc2204C690
646,INE.sc2110P420
647,INE.sc2112C380
648,INE.sc2110C455
649,INE.sc2208C660
650,INE.sc2110C530
651,INE.sc2210C530
652,INE.sc2204C490
653,INE.sc2209P870
654,INE.sc2205C680
655,INE.sc2204C740
656,INE.sc2203P490
657,INE.sc2212C820
658,INE.sc2206C570
659,INE.sc2112C540
660,INE.sc2112P420
661,INE.sc2111C560
662,INE.sc2212C530
663,INE.sc2112C590
664,INE.sc2206P650
665,INE.sc2206P800
666,INE.sc2202P470
667,INE.sc2212P520
668,INE.sc2109C385
669,INE.sc2202P400
670,INE.sc2212P660
671,INE.sc2203P430
672,INE.sc2109C435
673,INE.sc2210C590
674,INE.sc2204C940
675,INE.sc2209P760
676,INE.sc2203P445
677,INE.sc2207P700
678,INE.sc2212P550
679,INE.sc2211C590
680,INE.sc2211P610
681,INE.sc2112P450
682,INE.sc2110C480
683,INE.sc2210P640
684,INE.sc2204C730
685,INE.sc2206P780
686,INE.sc2209C860
687,INE.sc2205P860
688,INE.sc2204P760
689,INE.sc2205P560
690,INE.sc2208C570
691,INE.sc2203P620
692,INE.sc2203C510
693,INE.sc2204P440
694,INE.sc2212P750
695,INE.sc2110P425
696,INE.sc2203C480
697,INE.sc2109P445
698,INE.sc2111C580
699,INE.sc2212P560
700,INE.sc2208C900
701,INE.sc2207C840
702,INE.sc2205P680
703,INE.sc2206C720
704,INE.sc2110C355
705,INE.sc2111P570
706,INE.sc2211P750
707,INE.sc2109C470
708,INE.sc2209P495
709,INE.sc2207P750
710,INE.sc2211C500
711,INE.sc2212C500
712,INE.sc2210P630
713,INE.sc2209C550
714,INE.sc2112P530
715,INE.sc2204C620
716,INE.sc2209P830
717,INE.sc2111P485
718,INE.sc2209P730
719,INE.sc2206P590
720,INE.sc2212C510
721,INE.sc2209C630
722,INE.sc2210C720
723,INE.sc2109C390
724,INE.sc2112P385
725,INE.sc2209P560
726,INE.sc2204P450
727,INE.sc2212C760
728,INE.sc2112C560
729,INE.sc2112P475
730,INE.sc2211C630
731,INE.sc2204P900
732,INE.sc2201P455
733,INE.sc2210C580
734,INE.sc2212C710
735,INE.sc2206P910
736,INE.sc2205C730
737,INE.sc2202P550
738,INE.sc2109C400
739,INE.sc2110P365
740,INE.sc2112P440
741,INE.sc2109C445
742,INE.sc2208C580
743,INE.sc2110C400
744,INE.sc2204P495
745,INE.sc2211C730
746,INE.sc2209P540
747,INE.sc2207P500
748,INE.sc2210P580
749,INE.sc2203P640
750,INE.sc2207P890
751,INE.sc2202P450
752,INE.sc2207C600
753,INE.sc2111C475
754,INE.sc2210C850
755,INE.sc2206P770
756,INE.sc2206P510
757,INE.sc2210P690
758,INE.sc2211P500
759,INE.sc2202C405
760,INE.sc2109C415
761,INE.sc2111P415
762,INE.sc2207P560
763,INE.sc2204C510
764,INE.sc2109C495
765,INE.sc2204P930
766,INE.sc2209P740
767,INE.sc2201P580
768,INE.sc2112P410
769,INE.sc2110C415
770,INE.sc2111C465
771,INE.sc2210C880
772,INE.sc2112P500
773,INE.sc2206C760
774,INE.sc2211P710
775,INE.sc2211C550
776,INE.sc2205C930
777,INE.sc2111P410
778,INE.sc2210C485
779,INE.sc2208C530
