,0
0,SHFE.ru2201
1,SHFE.rb2111
2,SHFE.sp2205
3,SHFE.rb2109
4,SHFE.bu2206
5,SHFE.al2210
6,SHFE.ag2108
7,SHFE.au2304
8,SHFE.ni2303
9,SHFE.pb2106
10,SHFE.ss2112
11,SHFE.zn2108
12,SHFE.ag2010
13,SHFE.ru2103
14,SHFE.bu2106
15,SHFE.ag2101
16,SHFE.hc2206
17,SHFE.hc2111
18,SHFE.rb2205
19,SHFE.au2009
20,SHFE.ni2011
21,SHFE.fu2103
22,SHFE.rb2110
23,SHFE.pb2309
24,SHFE.hc2307
25,SHFE.pb2211
26,SHFE.sp2211
27,SHFE.ag2102
28,SHFE.ss2108
29,SHFE.sn2204
30,SHFE.ag2307
31,SHFE.ag2110
32,SHFE.sp2111
33,SHFE.al2104
34,SHFE.ni2101
35,SHFE.hc2305
36,SHFE.pb2209
37,SHFE.ag2111
38,SHFE.cu2202
39,SHFE.sp2304
40,SHFE.wr2207
41,SHFE.ru2203
42,SHFE.hc2309
43,SHFE.wr2109
44,SHFE.cu2102
45,SHFE.wr2103
46,SHFE.wr2303
47,SHFE.hc2011
48,SHFE.au2206
49,SHFE.rb2309
50,SHFE.wr2106
51,SHFE.al2207
52,SHFE.sp2101
53,SHFE.sp2103
54,SHFE.pb2103
55,SHFE.cu2203
56,SHFE.fu2206
57,SHFE.al2010
58,SHFE.fu2112
59,SHFE.sp2010
60,SHFE.pb2207
61,SHFE.sp2208
62,SHFE.pb2111
63,SHFE.au2204
64,SHFE.al2009
65,SHFE.al2306
66,SHFE.wr2111
67,SHFE.au2308
68,SHFE.wr2304
69,SHFE.al2202
70,SHFE.ss2307
71,SHFE.fu2310
72,SHFE.ru2208
73,SHFE.al2205
74,SHFE.rb2211
75,SHFE.ni2111
76,SHFE.sn2106
77,SHFE.zn2207
78,SHFE.hc2109
79,SHFE.wr2012
80,SHFE.rb2206
81,SHFE.au2212
82,SHFE.pb2210
83,SHFE.au2210
84,SHFE.au2105
85,SHFE.ru2107
86,SHFE.cu2206
87,SHFE.ss2301
88,SHFE.sp2104
89,SHFE.bu2209
90,SHFE.sp2102
91,SHFE.sn2105
92,SHFE.ag2012
93,SHFE.rb2009
94,SHFE.bu2207
95,SHFE.pb2305
96,SHFE.fu2211
97,SHFE.bu2009
98,SHFE.al2204
99,SHFE.bu2110
100,SHFE.wr2308
101,SHFE.fu2111
102,SHFE.fu2107
103,SHFE.hc2208
104,SHFE.hc2207
105,SHFE.ru2009
106,SHFE.hc2202
107,SHFE.wr2110
108,SHFE.cu2204
109,SHFE.al2206
110,SHFE.hc2106
111,SHFE.hc2205
112,SHFE.cu2211
113,SHFE.sn2111
114,SHFE.cu2109
115,SHFE.fu2201
116,SHFE.rb2208
117,SHFE.al2211
118,SHFE.ss2304
119,SHFE.pb2301
120,SHFE.wr2009
121,SHFE.ag2202
122,SHFE.rb2103
123,SHFE.fu2110
124,SHFE.bu2308
125,SHFE.sp2212
126,SHFE.cu2011
127,SHFE.hc2012
128,SHFE.sn2302
129,SHFE.pb2109
130,SHFE.al2108
131,SHFE.ss2211
132,SHFE.hc2302
133,SHFE.ni2104
134,SHFE.rb2105
135,SHFE.pb2308
136,SHFE.cu2302
137,SHFE.ag2211
138,SHFE.zn2309
139,SHFE.pb2012
140,SHFE.bu2409
141,SHFE.al2107
142,SHFE.ag2204
143,SHFE.wr2212
144,SHFE.bu2109
145,SHFE.fu2306
146,SHFE.sn2211
147,SHFE.bu2302
148,SHFE.ag2205
149,SHFE.pb2110
150,SHFE.au2310
151,SHFE.wr2204
152,SHFE.ni2211
153,SHFE.wr2102
154,SHFE.ni2204
155,SHFE.fu2302
156,SHFE.fu2205
157,SHFE.ag2304
158,SHFE.zn2112
159,SHFE.ni2203
160,SHFE.pb2208
161,SHFE.ss2205
162,SHFE.pb2105
163,SHFE.sn2108
164,SHFE.ss2105
165,SHFE.zn2109
166,SHFE.fu2203
167,SHFE.ag2011
168,SHFE.ni2103
169,SHFE.ru2307
170,SHFE.zn2102
171,SHFE.rb2302
172,SHFE.wr2309
173,SHFE.ag2210
174,SHFE.rb2101
175,SHFE.wr2203
176,SHFE.sp2301
177,SHFE.hc2212
178,SHFE.ss2303
179,SHFE.fu2308
180,SHFE.rb2307
181,SHFE.cu2212
182,SHFE.pb2202
183,SHFE.zn2010
184,SHFE.al2102
185,SHFE.ag2104
186,SHFE.sn2307
187,SHFE.ru2204
188,SHFE.sn2308
189,SHFE.pb2206
190,SHFE.zn2011
191,SHFE.zn2212
192,SHFE.ni2301
193,SHFE.ss2209
194,SHFE.ni2107
195,SHFE.ss2010
196,SHFE.sp2106
197,SHFE.rb2203
198,SHFE.ss2207
199,SHFE.bu2211
200,SHFE.zn2203
201,SHFE.fu2109
202,SHFE.ss2203
203,SHFE.zn2308
204,SHFE.pb2011
205,SHFE.ag2212
206,SHFE.rb2201
207,SHFE.wr2101
208,SHFE.au2306
209,SHFE.rb2010
210,SHFE.fu2102
211,SHFE.fu2101
212,SHFE.al2307
213,SHFE.sn2101
214,SHFE.sp2105
215,SHFE.cu2110
216,SHFE.ni2108
217,SHFE.hc2102
218,SHFE.ag2306
219,SHFE.ag2109
220,SHFE.pb2101
221,SHFE.zn2301
222,SHFE.cu2208
223,SHFE.sp2108
224,SHFE.al2301
225,SHFE.fu2207
226,SHFE.ss2107
