,0
0,SHFE.zn2301C24000
1,SHFE.au2105C324
2,SHFE.au2011P372
3,SHFE.al2206P25400
4,SHFE.zn2108C21800
5,SHFE.zn2210C18000
6,SHFE.al2102P17000
7,SHFE.au2103C400
8,SHFE.al2204C16500
9,SHFE.al2105P16200
10,SHFE.au2207P440
11,SHFE.al2205C17500
12,SHFE.al2202C19700
13,SHFE.al2205C16800
14,SHFE.ru2105P17250
15,SHFE.al2208P21800
16,SHFE.zn2210P28000
17,SHFE.al2209C19000
18,SHFE.ru2107P11500
19,SHFE.au2211C352
20,SHFE.al2208P15400
21,SHFE.au2106C456
22,SHFE.au2103C328
23,SHFE.zn2103P18000
24,SHFE.ru2107C10500
25,SHFE.ru2305C14000
26,SHFE.ru2011C11750
27,SHFE.au2204P388
28,SHFE.zn2112C21400
29,SHFE.au2205P380
30,SHFE.au2206C360
31,SHFE.zn2203C27000
32,SHFE.zn2103C23000
33,SHFE.al2206P18900
34,SHFE.cu2211P68000
35,SHFE.al2204C21000
36,SHFE.al2211P17200
37,SHFE.au2109C400
38,SHFE.al2207C18900
39,SHFE.zn2207C24200
40,SHFE.al2107P18700
41,SHFE.zn2105P23600
42,SHFE.al2011P15100
43,SHFE.al2209C20800
44,SHFE.cu2012P35000
45,SHFE.al2107P15900
46,SHFE.au2205P400
47,SHFE.ru2107P13500
48,SHFE.ru2211C13250
49,SHFE.al2106C18400
50,SHFE.al2202C17400
51,SHFE.au2102P376
52,SHFE.au2304P440
53,SHFE.au2208C372
54,SHFE.ru2110C11250
55,SHFE.al2107P21600
56,SHFE.ru2203P14250
57,SHFE.au2110C372
58,SHFE.au2101P376
59,SHFE.au2102C320
60,SHFE.cu2104P39500
61,SHFE.zn2201P24400
62,SHFE.al2110C23600
63,SHFE.cu2208C74000
64,SHFE.cu2103P54000
65,SHFE.cu2102C36500
66,SHFE.al2203C18300
67,SHFE.al2110P25800
68,SHFE.au2208C456
69,SHFE.al2106C14900
70,SHFE.ru2104P14250
71,SHFE.al2111P17700
72,SHFE.ru2010P13750
73,SHFE.al2111P16400
74,SHFE.ru2010P13500
75,SHFE.au2101P424
76,SHFE.cu2105P42000
77,SHFE.al2203P25200
78,SHFE.al2011P13400
79,SHFE.zn2111C24600
80,SHFE.zn2207C26000
81,SHFE.al2207P20600
82,SHFE.al2110C20400
83,SHFE.au2107P320
84,SHFE.al2210C22200
85,SHFE.al2012C16600
86,SHFE.al2104C14800
87,SHFE.au2108C380
88,SHFE.zn2210P24800
89,SHFE.cu2112P68000
90,SHFE.cu2112C71000
91,SHFE.al2204C24400
92,SHFE.au2103C336
93,SHFE.au2111P432
94,SHFE.al2209P25600
95,SHFE.ru2208C15000
96,SHFE.cu2209P63000
97,SHFE.ru2110P11750
98,SHFE.au2212C464
99,SHFE.al2210P15100
100,SHFE.al2112P23600
101,SHFE.al2105C18900
102,SHFE.ru2106C14750
103,SHFE.al2112P17900
104,SHFE.al2204P20000
105,SHFE.au2105C380
106,SHFE.al2206C17600
107,SHFE.au2302C440
108,SHFE.zn2104C21800
109,SHFE.zn2206P33500
110,SHFE.zn2012P19800
111,SHFE.al2103P16000
112,SHFE.cu2206P70000
113,SHFE.al2212P18100
114,SHFE.al2206P20200
115,SHFE.cu2110C72000
116,SHFE.au2011C424
117,SHFE.zn2108C19600
118,SHFE.al2011P13100
119,SHFE.au2108C432
120,SHFE.ru2106P9800
121,SHFE.au2102P396
122,SHFE.ru2203C14500
123,SHFE.ru2107C9600
124,SHFE.au2201P384
125,SHFE.au2205P424
126,SHFE.cu2208P64000
127,SHFE.ru2209P17750
128,SHFE.ru2010P12250
129,SHFE.al2107P14900
130,SHFE.zn2112P28500
131,SHFE.al2212P17800
132,SHFE.zn2109C19000
133,SHFE.cu2105C63000
134,SHFE.zn2205P27000
135,SHFE.cu2102P34000
136,SHFE.cu2209P49000
137,SHFE.ru2105P19000
138,SHFE.au2111C448
139,SHFE.zn2301P23000
140,SHFE.zn2209C23200
141,SHFE.ru2107P11750
142,SHFE.zn2202P20600
143,SHFE.cu2212C76000
144,SHFE.au2206P424
145,SHFE.cu2211C71000
146,SHFE.ru2105P16250
147,SHFE.ru2209P15000
148,SHFE.al2208P26000
149,SHFE.al2011P13200
150,SHFE.au2105P320
151,SHFE.al2208C22000
152,SHFE.al2110C21000
153,SHFE.au2112C396
154,SHFE.au2302C344
155,SHFE.al2203C20600
156,SHFE.al2104P17800
157,SHFE.cu2108P74000
158,SHFE.al2108C20400
159,SHFE.ru2206P16500
160,SHFE.cu2302C56000
161,SHFE.cu2103C41000
162,SHFE.au2104C480
163,SHFE.cu2109P60000
164,SHFE.cu2106C39500
165,SHFE.al2105C19000
166,SHFE.al2205P16600
167,SHFE.al2205C19200
168,SHFE.au2204C400
169,SHFE.ru2201C13250
170,SHFE.cu2211P64000
171,SHFE.au2201P392
172,SHFE.ru2209C12000
173,SHFE.al2208P20400
174,SHFE.al2208C21800
175,SHFE.al2206P24200
176,SHFE.al2110C23400
177,SHFE.al2204P16400
178,SHFE.zn2209C29500
179,SHFE.al2105P13800
180,SHFE.al2203P22200
181,SHFE.zn2201C27000
182,SHFE.cu2203C73000
183,SHFE.cu2103P38000
184,SHFE.al2103C17500
185,SHFE.au2109C336
186,SHFE.au2102C392
187,SHFE.cu2206C80000
188,SHFE.zn2105P17400
189,SHFE.ru2111P10750
190,SHFE.al2206C22800
191,SHFE.au2211P348
192,SHFE.cu2011C50000
193,SHFE.zn2210C17200
194,SHFE.al2206C17500
195,SHFE.ru2203C15250
196,SHFE.al2208C18300
197,SHFE.au2111C336
198,SHFE.zn2109C19600
199,SHFE.zn2211C23600
200,SHFE.ru2207P11500
201,SHFE.al2108C20000
202,SHFE.ru2103C9600
203,SHFE.ru2204P16750
204,SHFE.al2210P17600
205,SHFE.ru2207P13000
206,SHFE.cu2209C58000
207,SHFE.zn2108P24600
208,SHFE.al2301C15700
209,SHFE.cu2211C57000
210,SHFE.ru2101P12500
211,SHFE.al2109P18300
212,SHFE.zn2012P19600
213,SHFE.zn2104P17800
214,SHFE.al2205C18500
215,SHFE.al2302C18300
216,SHFE.zn2204P29000
217,SHFE.ru2106C9900
218,SHFE.al2209P20000
219,SHFE.al2109C15900
220,SHFE.zn2107C24800
221,SHFE.zn2212P25500
222,SHFE.zn2203P21400
223,SHFE.cu2109P68000
224,SHFE.ru2111C15000
225,SHFE.al2204C20800
226,SHFE.au2104P284
227,SHFE.au2102C352
228,SHFE.al2212C21200
229,SHFE.al2202C19400
230,SHFE.al2102P16000
231,SHFE.zn2012C20800
232,SHFE.ru2208C11250
233,SHFE.zn2203C23200
234,SHFE.cu2301P63000
235,SHFE.al2204C20400
236,SHFE.cu2101P39000
